DMS 포집내역 (2019.4.15 ~ 2019.10.31),,,,,2019년,포집량,모기,기타
,포집량,모기,기타,,4월,7742,7677,65
계,490101,484586,5517,,5월,47266,46764,502
2019-04-15,0,0,0,,6월,87199,86250,949
2019-04-16,48,48,0,,7월,149540,147401,2139
2019-04-17,219,218,1,,8월,75897,75125,772
2019-04-18,321,314,7,,9월,84073,83274,801
2019-04-19,242,242,0,,10월,38384,38095,289
2019-04-20,471,468,3,,계,490101,484586,5517
2019-04-21,513,506,7,,,,,
2019-04-22,607,603,4,,,,,
2019-04-23,819,814,5,,,,,
2019-04-24,776,771,5,,,,,
2019-04-25,1123,1107,16,,,,,
2019-04-26,105,104,1,,,,,
2019-04-27,103,101,2,,,,,
2019-04-28,896,894,2,,,,,
2019-04-29,785,782,3,,,,,
2019-04-30,714,705,9,,,,,
2019-05-01,1352,1345,7,,,,,
2019-05-02,1517,1507,10,,,,,
2019-05-03,1264,1258,6,,,,,
2019-05-04,1143,1137,6,,,,,
2019-05-05,1324,1315,9,,,,,
2019-05-06,1124,1108,16,,,,,
2019-05-07,1202,1172,30,,,,,
2019-05-08,1043,1031,12,,,,,
2019-05-09,1173,1169,4,,,,,
2019-05-10,1309,1300,9,,,,,
2019-05-11,1644,1636,8,,,,,
2019-05-12,1645,1633,12,,,,,
2019-05-13,1549,1543,6,,,,,
2019-05-14,1414,1364,50,,,,,
2019-05-15,1402,1395,7,,,,,
2019-05-16,1425,1421,4,,,,,
2019-05-17,1641,1629,12,,,,,
2019-05-18,1548,1531,17,,,,,
2019-05-19,1720,1697,23,,,,,
2019-05-20,1712,1698,14,,,,,
2019-05-21,1548,1533,15,,,,,
2019-05-22,2008,1973,35,,,,,
2019-05-23,1876,1856,20,,,,,
2019-05-24,1733,1715,18,,,,,
2019-05-25,1570,1543,27,,,,,
2019-05-26,1533,1523,10,,,,,
2019-05-27,1750,1724,26,,,,,
2019-05-28,1336,1310,26,,,,,
2019-05-29,1997,1975,22,,,,,
2019-05-30,2150,2127,23,,,,,
2019-05-31,1614,1596,18,,,,,
2019-06-01,1877,1859,18,,,,,
2019-06-02,1838,1824,14,,,,,
2019-06-03,1888,1858,30,,,,,
2019-06-04,1947,1933,14,,,,,
2019-06-05,1946,1927,19,,,,,
2019-06-06,1828,1805,23,,,,,
2019-06-07,1881,1867,14,,,,,
2019-06-08,1916,1902,14,,,,,
2019-06-09,2412,2399,13,,,,,
2019-06-10,2227,2214,13,,,,,
2019-06-11,1884,1867,17,,,,,
2019-06-12,2229,2216,13,,,,,
2019-06-13,2262,2247,15,,,,,
2019-06-14,2327,2313,14,,,,,
2019-06-15,2065,2047,18,,,,,
2019-06-16,2211,2201,10,,,,,
2019-06-17,2843,2827,16,,,,,
2019-06-18,2890,2864,26,,,,,
2019-06-19,3047,3026,21,,,,,
2019-06-20,3453,3427,26,,,,,
2019-06-21,3652,3624,28,,,,,
2019-06-22,3946,3909,37,,,,,
2019-06-23,3533,3499,34,,,,,
2019-06-24,3707,3676,31,,,,,
2019-06-25,3692,3651,41,,,,,
2019-06-26,4510,4436,74,,,,,
2019-06-27,3706,3666,40,,,,,
2019-06-28,5376,5309,67,,,,,
2019-06-29,4813,4744,69,,,,,
2019-06-30,5293,5113,180,,,,,
2019-07-01,5628,5525,103,,,,,
2019-07-02,5616,5547,69,,,,,
2019-07-03,5679,5555,124,,,,,
2019-07-04,5604,5538,66,,,,,
2019-07-05,6180,5994,186,,,,,
2019-07-06,5858,5791,67,,,,,
2019-07-07,5445,5374,71,,,,,
2019-07-08,4874,4811,63,,,,,
2019-07-09,4860,4802,58,,,,,
2019-07-10,4669,4600,69,,,,,
2019-07-11,5019,4951,68,,,,,
2019-07-12,4918,4828,90,,,,,
2019-07-13,5754,5670,84,,,,,
2019-07-14,5588,5523,65,,,,,
2019-07-15,6202,6137,65,,,,,
2019-07-16,4659,4599,60,,,,,
2019-07-17,5177,5116,61,,,,,
2019-07-18,5227,5144,83,,,,,
2019-07-19,5659,5566,93,,,,,
2019-07-20,4431,4361,70,,,,,
2019-07-21,3713,3667,46,,,,,
2019-07-22,4500,4437,63,,,,,
2019-07-23,4716,4675,41,,,,,
2019-07-24,4480,4418,62,,,,,
2019-07-25,3065,3046,19,,,,,
2019-07-26,4060,4017,43,,,,,
2019-07-27,3602,3552,50,,,,,
2019-07-28,4204,4158,46,,,,,
2019-07-29,3548,3500,48,,,,,
2019-07-30,3136,3068,68,,,,,
2019-07-31,3469,3431,38,,,,,
2019-08-01,2929,2904,25,,,,,
2019-08-02,2562,2534,28,,,,,
2019-08-03,2501,2482,19,,,,,
2019-08-04,2307,2281,26,,,,,
2019-08-05,2409,2378,31,,,,,
2019-08-06,2311,2290,21,,,,,
2019-08-07,2051,2028,23,,,,,
2019-08-08,1977,1958,19,,,,,
2019-08-09,2049,2024,25,,,,,
2019-08-10,2324,2283,41,,,,,
2019-08-11,2380,2350,30,,,,,
2019-08-12,2139,2115,24,,,,,
2019-08-13,2021,2012,9,,,,,
2019-08-14,2681,2646,35,,,,,
2019-08-15,2107,2073,34,,,,,
2019-08-16,1607,1596,11,,,,,
2019-08-17,2206,2183,23,,,,,
2019-08-18,1949,1935,14,,,,,
2019-08-19,2153,2134,19,,,,,
2019-08-20,2532,2505,27,,,,,
2019-08-21,2599,2565,34,,,,,
2019-08-22,2707,2679,28,,,,,
2019-08-23,3335,3312,23,,,,,
2019-08-24,3254,3226,28,,,,,
2019-08-25,2494,2481,13,,,,,
2019-08-26,2669,2651,18,,,,,
2019-08-27,2852,2835,17,,,,,
2019-08-28,2638,2604,34,,,,,
2019-08-29,2945,2911,34,,,,,
2019-08-30,2629,2591,38,,,,,
2019-08-31,2580,2559,21,,,,,
2019-09-01,2382,2352,30,,,,,
2019-09-02,2521,2506,15,,,,,
2019-09-03,2834,2742,92,,,,,
2019-09-04,2599,2564,35,,,,,
2019-09-05,2919,2900,19,,,,,
2019-09-06,2931,2914,19,,,,,
2019-09-07,3178,3141,37,,,,,
2019-09-08,3052,3008,44,,,,,
2019-09-09,3396,3361,35,,,,,
2019-09-10,3350,3310,40,,,,,
2019-09-11,2814,2797,17,,,,,
2019-09-12,2609,2580,29,,,,,
2019-09-13,2536,2518,18,,,,,
2019-09-14,3363,3337,26,,,,,
2019-09-15,2551,2530,21,,,,,
2019-09-16,3621,3592,29,,,,,
2019-09-17,3889,3865,24,,,,,
2019-09-18,3094,3058,36,,,,,
2019-09-19,2959,2935,24,,,,,
2019-09-20,2550,2534,16,,,,,
2019-09-21,2704,2677,27,,,,,
2019-09-22,2210,2193,17,,,,,
2019-09-23,2726,2704,22,,,,,
2019-09-24,2306,2283,23,,,,,
2019-09-25,2357,2344,13,,,,,
2019-09-26,2410,2392,18,,,,,
2019-09-27,2542,2521,21,,,,,
2019-09-28,2411,2393,18,,,,,
2019-09-29,2612,2592,20,,,,,
2019-09-30,2647,2631,16,,,,,
2019-10-01,2597,2569,28,,,,,
2019-10-02,2510,2493,17,,,,,
2019-10-03,2470,2445,25,,,,,
2019-10-04,2521,2503,18,,,,,
2019-10-05,3175,3150,25,,,,,
2019-10-06,2147,2136,11,,,,,
2019-10-07,2491,2471,20,,,,,
2019-10-08,739,731,8,,,,,
2019-10-09,850,847,3,,,,,
2019-10-10,868,861,7,,,,,
2019-10-11,1117,1111,6,,,,,
2019-10-12,1890,1872,18,,,,,
2019-10-13,1586,1573,13,,,,,
2019-10-14,1141,1135,6,,,,,
2019-10-15,623,609,14,,,,,
2019-10-16,629,624,5,,,,,
2019-10-17,877,874,3,,,,,
2019-10-18,712,707,5,,,,,
2019-10-19,1250,1244,6,,,,,
2019-10-20,902,896,6,,,,,
2019-10-21,906,901,5,,,,,
2019-10-22,945,936,9,,,,,
2019-10-23,1008,1004,4,,,,,
2019-10-24,1126,1125,1,,,,,
2019-10-25,1288,1276,12,,,,,
2019-10-26,731,725,6,,,,,
2019-10-27,182,181,1,,,,,
2019-10-28,268,266,2,,,,,
2019-10-29,440,439,1,,,,,
2019-10-30,210,206,4,,,,,
2019-10-31,185,185,0,,,,,
