DMS 포집내역 (2018.4.30 ~ 2018.10.31),,,,,2018년,포집량,모기,기타
,포집량,모기,기타,,4월,1321,1313,8
계,460899,456790,4099,,5월,74591,74159,432
2018-04-30,1321,1313,8,,6월,119505,118522,983
2018-05-01,1856,1837,19,,7월,107551,106118,1433
2018-05-02,1888,1871,17,,8월,65559,65030,519
2018-05-03,476,468,8,,9월,67926,67379,547
2018-05-04,1069,1052,17,,10월,24446,24269,177
2018-05-05,1747,1717,30,,계,460899,456790,4099
2018-05-06,2269,2246,23,,,,,
2018-05-07,1371,1361,10,,,,,
2018-05-08,2952,2931,21,,,,,
2018-05-09,2007,1988,19,,,,,
2018-05-10,2926,2906,20,,,,,
2018-05-11,2433,2422,11,,,,,
2018-05-12,3133,3117,16,,,,,
2018-05-13,1534,1533,1,,,,,
2018-05-14,2388,2376,12,,,,,
2018-05-15,3092,3076,16,,,,,
2018-05-16,3542,3529,13,,,,,
2018-05-17,1969,1964,5,,,,,
2018-05-18,1637,1634,3,,,,,
2018-05-19,1861,1849,12,,,,,
2018-05-20,2854,2837,17,,,,,
2018-05-21,2698,2680,18,,,,,
2018-05-22,2718,2708,10,,,,,
2018-05-23,2121,2119,2,,,,,
2018-05-24,2675,2663,12,,,,,
2018-05-25,2651,2636,15,,,,,
2018-05-26,2789,2778,11,,,,,
2018-05-27,3172,3160,12,,,,,
2018-05-28,3174,3154,20,,,,,
2018-05-29,3500,3480,20,,,,,
2018-05-30,2847,2838,9,,,,,
2018-05-31,3242,3229,13,,,,,
2018-06-01,3195,3178,17,,,,,
2018-06-02,3300,3270,30,,,,,
2018-06-03,2841,2828,13,,,,,
2018-06-04,2986,2977,9,,,,,
2018-06-05,2767,2760,7,,,,,
2018-06-06,3137,3119,18,,,,,
2018-06-07,3517,3491,26,,,,,
2018-06-08,3153,3122,31,,,,,
2018-06-09,3228,3198,30,,,,,
2018-06-10,3617,3581,36,,,,,
2018-06-11,4180,4152,28,,,,,
2018-06-12,3436,3417,19,,,,,
2018-06-13,4196,4163,33,,,,,
2018-06-14,4693,4640,53,,,,,
2018-06-15,4586,4516,70,,,,,
2018-06-16,4781,4746,35,,,,,
2018-06-17,4987,4943,44,,,,,
2018-06-18,5380,5323,57,,,,,
2018-06-19,4653,4605,48,,,,,
2018-06-20,4489,4442,47,,,,,
2018-06-21,4588,4545,43,,,,,
2018-06-22,5116,5080,36,,,,,
2018-06-23,5058,5010,48,,,,,
2018-06-24,4705,4673,32,,,,,
2018-06-25,4866,4830,36,,,,,
2018-06-26,4696,4664,32,,,,,
2018-06-27,3301,3285,16,,,,,
2018-06-28,3740,3709,31,,,,,
2018-06-29,2960,2937,23,,,,,
2018-06-30,3353,3318,35,,,,,
2018-07-01,3106,3076,30,,,,,
2018-07-02,3140,3106,34,,,,,
2018-07-03,1805,1791,14,,,,,
2018-07-04,2479,2434,45,,,,,
2018-07-05,2727,2684,43,,,,,
2018-07-06,2614,2583,31,,,,,
2018-07-07,3034,3000,34,,,,,
2018-07-08,3202,3167,35,,,,,
2018-07-09,3647,3600,47,,,,,
2018-07-10,3276,3235,41,,,,,
2018-07-11,2546,2524,22,,,,,
2018-07-12,2880,2861,19,,,,,
2018-07-13,2814,2771,43,,,,,
2018-07-14,3701,3597,104,,,,,
2018-07-15,3550,3489,61,,,,,
2018-07-16,3924,3870,54,,,,,
2018-07-17,3729,3679,50,,,,,
2018-07-18,3444,3381,63,,,,,
2018-07-19,3879,3835,44,,,,,
2018-07-20,4207,4147,60,,,,,
