DMS 포집내역 (2021.5.1 ~ 2021.10.31),,,,,,,,,,2021년,포집량,모기,기타,,
2021-05-31,2614,2586,28,,,,,,,,,,,,
2021-06-01,3094,3068,26,,,,,,,,,,,,
2021-06-02,3016,2988,28,,,,,,,,,,,,
2021-06-03,3306,3264,42,,,,,,,,,,,,
2021-06-04,1934,1898,36,,5월4주,12122,11997,125,,,,,,,
2021-06-05,2893,2862,31,,,,,,,,,,,,
2021-06-06,3035,3018,18,,,,,,,,,,,,
2021-06-07,3302,3282,40,,,,,,,,,,,,
2021-06-08,3180,3151,29,,,,,,,,,,,,
2021-06-09,3661,3653,18,,,,,,,,,,,,
2021-06-10,4007,3977,30,,,,,,,,,,,,
2021-06-11,3292,3280,12,,5월5주,16218,16037,181,,,,,,,
2021-06-12,3574,3544,30,,,,,,,,,,,,
2021-06-13,3568,3550,18,,,,,,,,,,,,
2021-06-14,3146,3108,38,,,,,,,,,,,,
2021-06-15,2913,2896,17,,,,,,,,,,,,
2021-06-16,2832,2812,20,,,,,,,,,,,,
2021-06-17,2499,2473,26,,,,,,,,,,,,
2021-06-18,2105,2080,25,,6월1주,20666,20463,224,,,,,,,
2021-06-19,2343,2317,26,,,,,,,,,,,,
2021-06-20,2697,2673,24,,,,,,,,,,,,
2021-06-21,2621,2605,16,,,,,,,,,,,,
2021-06-22,3010,2982,28,,,,,,,,,,,,
2021-06-23,2706,2683,23,,,,,,,,,,,,
2021-06-24,2649,2624,25,,,,,,,,,,,,
2021-06-25,3377,3341,36,,6월2주,24161,24008,163,,,,,,,
2021-06-26,3276,3241,35,,,,,,,,,,,,
2021-06-27,3070,3036,34,,,,,,,,,,,,
2021-06-28,2941,2906,35,,,,,,,,,,,,
2021-06-29,265,262,3,,,,,,,,,,,,
2021-06-30,,,,,,,,,,,,,,,
2021-07-01,,,,,,,,,,,,,,,
2021-07-02,,,,,6월3주,18107,17942,165,,,,,,,
2021-07-03,,,,,,,,,,,,,,,
2021-07-04,,,,,,,,,,,,,,,
2021-07-05,,,,,,,,,,,,,,,
2021-07-06,,,,,,,,,,,,,,,
2021-07-07,,,,,,,,,,,,,,,
2021-07-08,,,,,,,,,,,,,,,
2021-07-09,,,,,6월4주,18284,18093,191,,,,,,,
2021-07-10,,,,,,,,,,,,,,,
2021-07-11,,,,,,,,,,,,,,,
2021-07-12,0,0,0,,,,,,,,,,,,
2021-07-13,0,0,0,,,,,,,,,,,,
2021-07-14,787,780,7,,,,,,,,,,,,
2021-07-15,2055,2025,30,,,,,,,,,,,,
2021-07-16,2425,2390,35,,7월1주,0,0,0,,,,,,,
2021-07-17,3679,3614,65,,,,,,,,,,,,
2021-07-18,3654,3580,74,,,,,,,,,,,,
2021-07-19,3715,3635,80,,,,,,,,,,,,
2021-07-20,3235,3147,88,,,,,,,,,,,,
2021-07-21,3426,3322,104,,,,,,,,,,,,
2021-07-22,3278,3194,84,,,,,,,,,,,,
2021-07-23,3140,3052,88,,7월2주,0,0,0,,,,,,,
2021-07-24,3251,3146,105,,,,,,,,,,,,
2021-07-25,3368,3274,94,,,,,,,,,,,,
2021-07-26,3041,2952,89,,,,,,,,,,,,
2021-07-27,2719,2628,91,,,,,,,,,,,,
2021-07-28,3080,2982,98,,,,,,,,,,,,
2021-07-29,3045,2927,118,,,,,,,,,,,,
2021-07-30,3034,2925,109,,7월3주,19550,19171,379,,,,,,,
2021-07-31,2402,2289,113,,,,,,,,,,,,
2021-08-01,3082,2971,111,,,,,,,,,,,,
2021-08-02,2808,2676,132,,,,,,,,,,,,
2021-08-03,2494,2403,91,,,,,,,,,,,,
2021-08-04,2541,2447,94,,,,,,,,,,,,
2021-08-05,2555,2468,87,,,,,,,,,,,,
2021-08-06,2630,2547,83,,7월4주,22223,21568,655,,,,,,,
2021-08-07,2474,2384,90,,,,,,,,,,,,
2021-08-08,2848,2771,77,,,,,,,,,,,,
2021-08-09,2819,2740,79,,,,,,,,,,,,
2021-08-10,2710,2630,80,,,,,,,,,,,,
2021-08-11,3002,2919,83,,,,,,,,,,,,
2021-08-12,3118,3015,103,,,,,,,,,,,,
2021-08-13,2545,2435,110,,7월5주,19945,19173,772,,,,,,,
2021-08-14,2759,2645,114,,,,,,,,,,,,
2021-08-15,2598,2521,77,,,,,,,,,,,,
2021-08-16,2548,2460,88,,,,,,,,,,,,
2021-08-17,2430,2337,93,,,,,,,,,,,,
2021-08-18,2504,2410,94,,,,,,,,,,,,
2021-08-19,2832,2728,104,,,,,,,,,,,,
2021-08-20,3298,3201,97,,8월1주,18577,17987,590,,,,,,,
2021-08-21,3295,3218,77,,,,,,,,,,,,
2021-08-22,3061,2982,79,,,,,,,,,,,,
2021-08-23,3149,3058,91,,,,,,,,,,,,
2021-08-24,2703,2622,82,,,,,,,,,,,,
2021-08-25,3085,3006,79,,,,,,,,,,,,
2021-08-26,2908,2829,79,,,,,,,,,,,,
2021-08-27,3447,3349,98,,8월2주,19000,18332,668,,,,,,,
2021-08-28,2447,2349,98,,,,,,,,,,,,
2021-08-29,3269,3179,90,,,,,,,,,,,,
2021-08-30,3628,3546,82,,,,,,,,,,,,
2021-08-31,3899,3821,78,,,,,,,,,,,,
2021-09-01,2598,2466,132,,,,,,,,,,,,
2021-09-02,3202,3117,85,,,,,,,,,,,,
2021-09-03,3410,3314,96,,8월3주,20842,20219,624,,,,,,,
2021-09-04,3420,3288,132,,,,,,,,,,,,
2021-09-05,2772,2693,79,,,,,,,,,,,,
2021-09-06,2825,2721,104,,,,,,,,,,,,
2021-09-07,2153,2054,99,,,,,,,,,,,,
2021-09-08,1973,1892,81,,,,,,,,,,,,
2021-09-09,2897,2807,90,,,,,,,,,,,,
2021-09-10,3062,2968,94,,8월4주,22683,22079,604,,,,,,,
2021-09-11,3319,3221,98,,,,,,,,,,,,
2021-09-12,3347,3247,100,,,,,,,,,,,,
2021-09-13,3360,3258,102,,,,,,,,,,,,
2021-09-14,3363,3268,95,,,,,,,,,,,,
2021-09-15,3547,3453,94,,,,,,,,,,,,
2021-09-16,3257,3165,92,,,,,,,,,,,,
2021-09-17,3280,3197,83,,9월1주,20380,19653,727,,,,,,,
2021-09-18,3518,3422,96,,,,,,,,,,,,
2021-09-19,3574,3471,103,,,,,,,,,,,,
2021-09-20,4063,3974,89,,,,,,,,,,,,
2021-09-21,3350,3267,83,,,,,,,,,,,,
2021-09-22,2859,2765,94,,,,,,,,,,,,
2021-09-23,3245,3152,93,,,,,,,,,,,,
2021-09-24,3414,3309,105,,9월2주,21321,20661,660,,,,,,,
2021-09-25,3373,3292,81,,,,,,,,,,,,
2021-09-26,3263,3168,95,,,,,,,,,,,,
2021-09-27,3502,3397,105,,,,,,,,,,,,
2021-09-28,2878,2780,98,,,,,,,,,,,,
2021-09-29,2768,2681,87,,,,,,,,,,,,
2021-09-30,1830,1735,95,,,,,,,,,,,,
2021-10-01,2500,2406,94,,9월3주,24589,23949,640,,,,,,,
2021-10-02,2589,2483,106,,,,,,,,,,,,
2021-10-03,2653,2552,101,,,,,,,,,,,,
2021-10-04,3152,3055,97,,,,,,,,,,,,
2021-10-05,2587,2476,111,,,,,,,,,,,,
2021-10-06,2782,2673,109,,,,,,,,,,,,
2021-10-07,2803,2698,105,,,,,,,,,,,,
2021-10-08,3016,2906,110,,9월4주,22534,21863,671,,,,,,,
2021-10-09,2408,2317,91,,,,,,,,,,,,
2021-10-10,2669,2580,89,,,,,,,,,,,,
2021-10-11,2464,2368,96,,,,,,,,,,,,
2021-10-12,2440,2341,99,,,,,,,,,,,,
2021-10-13,2421,2322,99,,,,,,,,,,,,
2021-10-14,2399,2309,90,,,,,,,,,,,,
2021-10-15,2400,2308,92,,10월1주,18079,17388,691,,,,,,,
2021-10-16,2181,2088,93,,,,,,,,,,,,
2021-10-17,1306,1210,96,,,,,,,,,,,,
2021-10-18,1016,920,96,,,,,,,,,,,,
2021-10-19,437,351,86,,,,,,,,,,,,
2021-10-20,408,315,93,,,,,,,,,,,,
2021-10-21,441,341,100,,,,,,,,,,,,
2021-10-22,435,342,93,,10월2주,18582,17883,699,,,,,,,
2021-10-23,521,437,84,,,,,,,,,,,,
2021-10-24,504,419,85,,,,,,,,,,,,
2021-10-25,531,444,87,,,,,,,,,,,,
2021-10-26,483,400,83,,,,,,,,,,,,
2021-10-27,752,669,83,,,,,,,,,,,,
2021-10-28,762,691,71,,,,,,,,,,,,
2021-10-29,846,765,81,,10월3주,12160,11508,652,,,,,,,
2021-10-30,902,829,73,,,,,,,,,,,,
2021-10-31,820,745,75,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,10월4주,3323,2698,625,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,10월5주,4082,3699,383,,,,,,,
