DMS 포집내역 (2021.5.1 ~ 2021.10.31),,,,,,,,,,2021년,포집량,모기,기타,,
,포집량,모기,기타,,,포집량,모기,기타,,5월,42345,41791,554,,
계,414527,403196,11363,,,#REF!,#REF!,#REF!,,6월,84312,83574,769,,
2021-05-01,395,388,7,,4월3주,#REF!,#REF!,#REF!,,7월,53334,51862,1472,,
2021-05-02,153,151,2,,,,,,,8월,89486,86667,2820,,
2021-05-03,614,608,6,,,,,,,9월,93422,90542,2880,,
2021-05-04,881,869,12,,,,,,,10월,51628,48760,2868,,
2021-05-05,454,448,6,,,,,,,계,414527,403196,11363,,
2021-05-06,731,717,14,,,,,,,,,,,,
2021-05-07,1060,1041,19,,4월4주,#REF!,#REF!,#REF!,,,,,,,
2021-05-08,687,679,8,,,,,,,,,,,,
2021-05-09,1215,1198,17,,,,,,,,,,,,
2021-05-10,1320,1308,12,,,,,,,,,,,,
2021-05-11,795,787,8,,,,,,,,,,,,
2021-05-12,1051,1042,9,,,,,,,,,,,,
2021-05-13,1468,1449,19,,,,,,,,,,,,
2021-05-14,1513,1477,36,,5월1주,2043,2016,27,,,,,,,
2021-05-15,1524,1496,28,,,,,,,,,,,,
2021-05-16,1117,1094,23,,,,,,,,,,,,
2021-05-17,1049,1021,28,,,,,,,,,,,,
2021-05-18,1072,1052,20,,,,,,,,,,,,
2021-05-19,1393,1369,24,,,,,,,,,,,,
2021-05-20,1753,1725,28,,,,,,,,,,,,
2021-05-21,1440,1423,17,,5월2주,6262,6178,84,,,,,,,
2021-05-22,1353,1341,12,,,,,,,,,,,,
2021-05-23,1955,1942,13,,,,,,,,,,,,
2021-05-24,2267,2248,19,,,,,,,,,,,,
2021-05-25,1961,1949,12,,,,,,,,,,,,
2021-05-26,1721,1692,29,,,,,,,,,,,,
2021-05-27,2568,2532,36,,,,,,,,,,,,
2021-05-28,1962,1939,23,,5월3주,8794,8631,163,,,,,,,
2021-05-29,2361,2337,24,,,,,,,,,,,,
2021-05-30,1898,1883,15,,,,,,,,,,,,
