DMS 포집내역 (2017.4.17 ~ 2017.10.31),,,,,2017년,포집량,모기,기타
,포집량,모기,기타,,4월,10979,10886,95
계,615504,609098,6407,,5월,56116,55429,694
2017-04-17,1107,1102,5,,6월,106192,104930,1262
2017-04-18,480,477,3,,7월,149526,148460,1057
2017-04-19,213,212,1,,8월,115769,114729,1040
2017-04-20,753,750,3,,9월,106526,105146,1381
2017-04-21,586,585,1,,10월,70396,69518,878
2017-04-22,609,606,3,,계,615504,609098,6407
2017-04-23,899,889,10,,,,,
2017-04-24,812,805,7,,,,,
2017-04-25,1048,1035,13,,,,,
2017-04-26,955,945,10,,,,,
2017-04-27,870,863,7,,,,,
2017-04-28,755,747,9,,,,,
2017-04-29,775,766,10,,,,,
2017-04-30,1117,1104,13,,,,,
2017-05-01,1078,1057,22,,,,,
2017-05-02,1364,1347,17,,,,,
2017-05-03,1262,1249,13,,,,,
2017-05-04,1300,1284,16,,,,,
2017-05-05,1198,1187,15,,,,,
2017-05-06,1221,1208,15,,,,,
2017-05-07,989,969,20,,,,,
2017-05-08,1135,1115,20,,,,,
2017-05-09,1431,1415,16,,,,,
2017-05-10,1298,1287,11,,,,,
2017-05-11,1320,1304,16,,,,,
2017-05-12,2086,2064,22,,,,,
2017-05-13,1899,1876,23,,,,,
2017-05-14,1352,1330,22,,,,,
2017-05-15,2093,2047,46,,,,,
2017-05-16,2009,1974,35,,,,,
2017-05-17,2056,2031,25,,,,,
2017-05-18,2259,2228,31,,,,,
2017-05-19,2056,2025,31,,,,,
2017-05-20,2111,2086,25,,,,,
2017-05-21,2144,2116,28,,,,,
2017-05-22,2094,2064,30,,,,,
2017-05-23,2135,2099,36,,,,,
2017-05-24,1900,1882,18,,,,,
2017-05-25,3048,3017,31,,,,,
2017-05-26,1941,1921,20,,,,,
2017-05-27,2181,2161,20,,,,,
2017-05-28,2159,2142,17,,,,,
2017-05-29,2315,2293,22,,,,,
2017-05-30,2527,2520,7,,,,,
2017-05-31,2155,2131,24,,,,,
2017-06-01,2097,2081,16,,,,,
2017-06-02,2346,2317,29,,,,,
2017-06-03,1971,1948,23,,,,,
2017-06-04,2069,2043,26,,,,,
2017-06-05,2243,2206,37,,,,,
2017-06-06,2399,2360,39,,,,,
2017-06-07,1299,1292,7,,,,,
2017-06-08,1745,1722,23,,,,,
2017-06-09,2445,2427,18,,,,,
2017-06-10,2470,2442,28,,,,,
2017-06-11,2642,2613,29,,,,,
2017-06-12,2823,2792,31,,,,,
2017-06-13,2728,2697,31,,,,,
2017-06-14,2615,2558,57,,,,,
2017-06-15,3039,2986,53,,,,,
2017-06-16,3332,3272,60,,,,,
2017-06-17,3770,3714,56,,,,,
2017-06-18,3523,3480,43,,,,,
2017-06-19,4001,3947,54,,,,,
2017-06-20,3986,3931,55,,,,,
2017-06-21,4015,3969,46,,,,,
2017-06-22,4132,4069,63,,,,,
2017-06-23,4718,4666,52,,,,,
2017-06-24,5189,5131,58,,,,,
2017-06-25,4755,4714,41,,,,,
2017-06-26,5340,5298,42,,,,,
2017-06-27,5900,5862,38,,,,,
2017-06-28,6293,6250,43,,,,,
2017-06-29,6252,6136,116,,,,,
2017-06-30,6055,6007,48,,,,,
2017-07-01,6237,6183,54,,,,,
2017-07-02,6711,6681,30,,,,,
2017-07-03,5818,5803,15,,,,,
2017-07-04,6123,6094,29,,,,,
2017-07-05,5525,5489,36,,,,,
2017-07-06,4819,4774,45,,,,,
2017-07-07,4930,4894,36,,,,,
2017-07-08,4015,3999,16,,,,,
2017-07-09,4599,4588,11,,,,,
2017-07-10,3800,3794,6,,,,,
2017-07-11,2147,2140,7,,,,,
2017-07-12,3318,3291,27,,,,,
2017-07-13,3099,3067,32,,,,,
2017-07-14,3976,3928,48,,,,,
2017-07-15,4612,4552,60,,,,,
2017-07-16,4472,4428,35,,,,,
2017-07-17,4393,4362,31,,,,,
2017-07-18,5485,5447,38,,,,,
2017-07-19,5195,5155,40,,,,,
2017-07-20,5527,5492,35,,,,,
2017-07-21,6190,6136,54,,,,,
2017-07-22,6352,6299,53,,,,,
2017-07-23,5764,5717,47,,,,,
2017-07-24,5984,5957,27,,,,,
2017-07-25,3869,3849,20,,,,,
2017-07-26,4588,4511,77,,,,,
2017-07-27,4512,4474,38,,,,,
2017-07-28,3612,3590,22,,,,,
2017-07-29,4052,4027,25,,,,,
2017-07-30,4756,4723,33,,,,,
2017-07-31,5046,5016,30,,,,,
2017-08-01,3995,3964,31,,,,,
2017-08-02,5032,4989,43,,,,,
2017-08-03,3946,3903,43,,,,,
2017-08-04,4029,3999,30,,,,,
2017-08-05,3743,3717,26,,,,,
2017-08-06,3749,3718,31,,,,,
2017-08-07,4388,4362,26,,,,,
2017-08-08,3914,3885,29,,,,,
2017-08-09,4270,4233,37,,,,,
