DMS 포집내역 (2023.4.15 ~ 2023.10.31),,,,,2023년,포집량,모기,기타,,
2023-06-15,2346,2284,62,,,,,,,
2023-06-16,2540,2474,66,,,,,,,
2023-06-17,2115,2053,62,,,,,,,
2023-06-18,2185,2119,66,,,,,,,
2023-06-19,2188,2134,54,,,,,,,
2023-06-20,2601,2544,57,,,,,,,
2023-06-21,2512,2454,58,,,,,,,
2023-06-22,2194,2143,51,,,,,,,
2023-06-23,2284,2235,49,,,,,,,
2023-06-24,2829,2779,50,,,,,,,
2023-06-25,2936,2882,54,,,,,,,
2023-06-26,2732,2664,68,,,,,,,
2023-06-27,2495,2432,63,,,,,,,
2023-06-28,2836,2772,64,,,,,,,
2023-06-29,2716,2649,67,,,,,,,
2023-06-30,2203,2138,65,,,,,,,
2023-07-01,2398,2342,56,,,,,,,
2023-07-02,2609,2541,68,,,,,,,
2023-07-03,2308,2247,61,,,,,,,
2023-07-04,2453,2396,57,,,,,,,
2023-07-05,1898,1847,51,,,,,,,
2023-07-06,2103,2051,52,,,,,,,
2023-07-07,2319,2251,68,,,,,,,
2023-07-08,1937,1858,79,,,,,,,
2023-07-09,1927,1846,81,,,,,,,
2023-07-10,1719,1632,87,,,,,,,
2023-07-11,2104,2041,63,,,,,,,
2023-07-12,1328,1260,68,,,,,,,
2023-07-13,1835,1765,70,,,,,,,
2023-07-14,1774,1703,71,,,,,,,
2023-07-15,1120,1066,54,,,,,,,
2023-07-16,1451,1401,50,,,,,,,
2023-07-17,1385,1331,54,,,,,,,
2023-07-18,1468,1401,67,,,,,,,
2023-07-19,1261,1203,58,,,,,,,
2023-07-20,1506,1452,54,,,,,,,
2023-07-21,1882,1811,71,,,,,,,
2023-07-22,1963,1895,68,,,,,,,
2023-07-23,1586,1516,70,,,,,,,
2023-07-24,1546,1464,82,,,,,,,
2023-07-25,1839,1769,70,,,,,,,
2023-07-26,1834,1773,61,,,,,,,
2023-07-27,1771,1716,55,,,,,,,
2023-07-28,1972,1923,49,,,,,,,
2023-07-29,1892,1838,54,,,,,,,
2023-07-30,2280,2206,74,,,,,,,
2023-07-31,2090,2011,79,,,,,,,
2023-08-01,2233,2139,94,,,,,,,
2023-08-02,2236,2123,113,,,,,,,
2023-08-03,2382,2297,85,,,,,,,
2023-08-04,2430,2336,94,,,,,,,
2023-08-05,2058,1963,95,,,,,,,
2023-08-06,1829,1735,94,,,,,,,
2023-08-07,1901,1800,101,,,,,,,
2023-08-08,2121,2015,106,,,,,,,
2023-08-09,1809,1710,99,,,,,,,
2023-08-10,1523,1430,93,,,,,,,
2023-08-11,1809,1713,96,,,,,,,
2023-08-12,1788,1697,91,,,,,,,
2023-08-13,1351,1266,85,,,,,,,
2023-08-14,1607,1516,91,,,,,,,
2023-08-15,1450,1347,103,,,,,,,
2023-08-16,1375,1270,105,,,,,,,
2023-08-17,1401,1310,91,,,,,,,
2023-08-18,1788,1694,94,,,,,,,
2023-08-19,1818,1726,92,,,,,,,
2023-08-20,1952,1847,105,,,,,,,
2023-08-21,1905,1806,99,,,,,,,
2023-08-22,1994,1889,105,,,,,,,
2023-08-23,1599,1509,90,,,,,,,
2023-08-24,1486,1389,97,,,,,,,
2023-08-25,1531,1443,88,,,,,,,
2023-08-26,1861,1770,91,,,,,,,
2023-08-27,2252,2158,94,,,,,,,
2023-08-28,1907,1832,75,,,,,,,
2023-08-29,1858,1774,84,,,,,,,
2023-08-30,1682,1602,80,,,,,,,
2023-08-31,1719,1659,60,,,,,,,
2023-09-01,2214,2136,78,,,,,,,
2023-09-02,2312,2237,75,,,,,,,
2023-09-03,2487,2426,61,,,,,,,
2023-09-04,2029,1972,57,,,,,,,
2023-09-05,2166,2107,59,,,,,,,
2023-09-06,2325,2263,62,,,,,,,
2023-09-07,2151,2098,53,,,,,,,
2023-09-08,2245,2198,47,,,,,,,
2023-09-09,1700,1649,51,,,,,,,
2023-09-10,1971,1917,54,,,,,,,
2023-09-11,2075,2021,54,,,,,,,
2023-09-12,2031,1977,54,,,,,,,
2023-09-13,1963,1919,44,,,,,,,
2023-09-14,1450,1405,45,,,,,,,
2023-09-15,2335,2283,52,,,,,,,
2023-09-16,1876,1817,59,,,,,,,
2023-09-17,2226,2165,61,,,,,,,
2023-09-18,2039,1986,53,,,,,,,
2023-09-19,2024,1971,53,,,,,,,
2023-09-20,2078,2021,57,,,,,,,
2023-09-21,1706,1647,59,,,,,,,
2023-09-22,1626,1563,63,,,,,,,
2023-09-23,1883,1834,49,,,,,,,
2023-09-24,2349,2308,41,,,,,,,
2023-09-25,2815,2775,40,,,,,,,
2023-09-26,2380,2331,49,,,,,,,
2023-09-27,2333,2290,43,,,,,,,
2023-09-28,2285,2233,52,,,,,,,
2023-09-29,2550,2497,53,,,,,,,
2023-09-30,2830,2779,51,,,,,,,
2023-10-01,2350,2303,47,,,,,,,
2023-10-02,2496,2445,51,,,,,,,
2023-10-03,2237,2189,48,,,,,,,
2023-10-04,1846,1794,52,,,,,,,
2023-10-05,1831,1783,48,,,,,,,
2023-10-06,1613,1567,46,,,,,,,
2023-10-07,1395,1350,45,,,,,,,
2023-10-08,1787,1737,50,,,,,,,
2023-10-09,2338,2291,47,,,,,,,
2023-10-10,1370,1325,45,,,,,,,
2023-10-11,1322,1276,46,,,,,,,
2023-10-12,1306,1262,44,,,,,,,
2023-10-13,1573,1529,44,,,,,,,
2023-10-14,1374,1327,47,,,,,,,
2023-10-15,629,583,46,,,,,,,
2023-10-16,1522,1476,46,,,,,,,
2023-10-17,775,729,46,,,,,,,
2023-10-18,751,704,47,,,,,,,
2023-10-19,1267,1219,48,,,,,,,
2023-10-20,986,939,47,,,,,,,
2023-10-21,439,393,46,,,,,,,
2023-10-22,467,422,45,,,,,,,
2023-10-23,651,605,46,,,,,,,
2023-10-24,827,781,46,,,,,,,
2023-10-25,813,764,49,,,,,,,
2023-10-26,890,841,49,,,,,,,
2023-10-27,912,870,42,,,,,,,
2023-10-28,808,763,45,,,,,,,
2023-10-29,657,613,44,,,,,,,
2023-10-30,628,583,45,,,,,,,
2023-10-31,520,476,44,,,,,,,
