DMS 포집내역 (2023.4.15 ~ 2023.10.31),,,,,2023년,포집량,모기,기타,,
,포집량,모기,기타,,4월,12279,11036,1240,,
계,357920,345620,12297,,5월,58312,56894,1418,,
2023-04-15,822,702,120,,6월,70282,68605,1677,,
2023-04-16,1008,816,192,,7월,57558,55556,2002,,
2023-04-17,718,626,92,,8월,56655,53765,2890,,
2023-04-18,939,843,96,,9월,64454,62825,1629,,
2023-04-19,742,630,112,,10월,38380,36939,1441,,
2023-04-20,885,827,58,,계,357920,345620,12297,,
2023-04-21,696,638,58,,,,,,,
2023-04-22,777,717,60,,,,,,,
2023-04-23,815,750,65,,,,,,,
2023-04-24,950,888,62,,,,,,,
2023-04-25,736,675,61,,,,,,,
2023-04-26,280,219,61,,,,,,,
2023-04-27,327,266,61,,,,,,,
2023-04-28,981,930,51,,,,,,,
2023-04-29,1105,1052,53,,,,,,,
2023-04-30,498,457,38,,,,,,,
2023-05-01,1159,1124,35,,,,,,,
2023-05-02,1314,1279,35,,,,,,,
2023-05-03,1532,1496,36,,,,,,,
2023-05-04,1673,1637,36,,,,,,,
2023-05-05,1580,1544,36,,,,,,,
2023-05-06,936,894,42,,,,,,,
2023-05-07,947,903,44,,,,,,,
2023-05-08,1081,1037,44,,,,,,,
2023-05-09,1580,1534,46,,,,,,,
2023-05-10,1602,1557,45,,,,,,,
2023-05-11,1665,1616,49,,,,,,,
2023-05-12,1547,1492,55,,,,,,,
2023-05-13,2042,1998,44,,,,,,,
2023-05-14,2523,2475,48,,,,,,,
2023-05-15,2399,2351,48,,,,,,,
2023-05-16,1944,1899,45,,,,,,,
2023-05-17,1977,1939,38,,,,,,,
2023-05-18,1925,1882,43,,,,,,,
2023-05-19,2154,2112,42,,,,,,,
2023-05-20,2601,2551,50,,,,,,,
2023-05-21,2223,2177,46,,,,,,,
2023-05-22,2581,2536,45,,,,,,,
2023-05-23,2599,2549,50,,,,,,,
2023-05-24,2668,2610,58,,,,,,,
2023-05-25,2724,2670,54,,,,,,,
2023-05-26,2306,2255,51,,,,,,,
2023-05-27,1855,1810,45,,,,,,,
2023-05-28,1365,1313,52,,,,,,,
2023-05-29,1159,1110,49,,,,,,,
2023-05-30,2277,2230,47,,,,,,,
2023-05-31,2374,2314,60,,,,,,,
2023-06-01,2272,2223,49,,,,,,,
2023-06-02,2140,2093,47,,,,,,,
2023-06-03,1837,1786,51,,,,,,,
2023-06-04,1959,1898,61,,,,,,,
2023-06-05,1977,1928,49,,,,,,,
2023-06-06,1835,1784,51,,,,,,,
2023-06-07,2019,1971,48,,,,,,,
2023-06-08,2109,2063,46,,,,,,,
2023-06-09,1998,1950,48,,,,,,,
2023-06-10,2981,2918,63,,,,,,,
2023-06-11,2396,2344,52,,,,,,,
2023-06-12,2630,2577,53,,,,,,,
2023-06-13,2335,2287,48,,,,,,,
2023-06-14,2082,2027,55,,,,,,,
