DMS 포집내역 (2020.5.1 ~ 2020.10.31),,,,,2020년,포집량,모기,기타,,
,포집량,모기,기타,,5월,51132,50304,830,,
계,466151,460940,5215,,6월,93556,92568,988,,
2020-05-01,869,842,27,,7월,100280,99196,1084,,
2020-05-02,882,861,21,,8월,83356,82436,921,,
2020-05-03,930,896,34,,9월,96078,95170,908,,
2020-05-04,1322,1304,19,,10월,41749,41266,484,,
2020-05-05,1119,1090,30,,계,466151,460940,5215,,
2020-05-06,915,902,13,,,,,,,
2020-05-07,1396,1367,29,,,,,,,
2020-05-08,1583,1552,31,,,,,,,
2020-05-09,859,831,28,,,,,,,
2020-05-10,807,785,22,,,,,,,
2020-05-11,1218,1176,42,,,,,,,
2020-05-12,1654,1625,29,,,,,,,
2020-05-13,1348,1328,20,,,,,,,
2020-05-14,1678,1656,22,,,,,,,
2020-05-15,1842,1813,29,,,,,,,
2020-05-16,1000,979,21,,,,,,,
2020-05-17,1460,1434,26,,,,,,,
2020-05-18,1979,1952,27,,,,,,,
2020-05-19,1368,1338,30,,,,,,,
2020-05-20,1028,1010,18,,,,,,,
2020-05-21,1563,1540,23,,,,,,,
2020-05-22,1916,1890,26,,,,,,,
2020-05-23,2005,1976,29,,,,,,,
2020-05-24,2168,2141,27,,,,,,,
2020-05-25,1891,1874,17,,,,,,,
2020-05-26,2227,2200,27,,,,,,,
2020-05-27,2147,2126,21,,,,,,,
2020-05-28,2596,2571,25,,,,,,,
2020-05-29,3057,3024,33,,,,,,,
2020-05-30,3217,3183,34,,,,,,,
2020-05-31,3088,3038,50,,,,,,,
2020-06-01,3332,3288,44,,,,,,,
2020-06-02,3651,3610,41,,,,,,,
2020-06-03,3136,3106,30,,,,,,,
2020-06-04,3590,3568,22,,,,,,,
2020-06-05,3808,3771,37,,,,,,,
2020-06-06,4008,3982,26,,,,,,,
2020-06-07,3602,3564,38,,,,,,,
2020-06-08,3656,3621,35,,,,,,,
2020-06-09,3294,3263,31,,,,,,,
2020-06-10,3305,3266,39,,,,,,,
2020-06-11,3117,3087,30,,,,,,,
2020-06-12,3687,3646,41,,,,,,,
2020-06-13,3339,3297,42,,,,,,,
2020-06-14,2867,2824,43,,,,,,,
2020-06-15,3134,3102,32,,,,,,,
2020-06-16,3177,3148,29,,,,,,,
2020-06-17,3024,2997,27,,,,,,,
2020-06-18,3444,3417,27,,,,,,,
2020-06-19,3246,3220,26,,,,,,,
2020-06-20,3538,3476,62,,,,,,,
2020-06-21,3087,3059,28,,,,,,,
2020-06-22,2899,2865,34,,,,,,,
2020-06-23,2425,2393,32,,,,,,,
2020-06-24,2378,2355,23,,,,,,,
2020-06-25,1901,1888,13,,,,,,,
2020-06-26,2062,2035,27,,,,,,,
2020-06-27,2952,2917,35,,,,,,,
2020-06-28,2836,2800,36,,,,,,,
2020-06-29,2848,2822,26,,,,,,,
2020-06-30,2213,2181,32,,,,,,,
2020-07-01,2372,2341,31,,,,,,,
2020-07-02,2984,2898,86,,,,,,,
2020-07-03,3016,2971,45,,,,,,,
2020-07-04,3365,3331,34,,,,,,,
2020-07-05,3294,3267,27,,,,,,,
2020-07-06,3228,3183,45,,,,,,,
2020-07-07,3351,3303,48,,,,,,,
2020-07-08,3276,3235,41,,,,,,,
2020-07-09,3746,3689,57,,,,,,,
2020-07-10,3917,3893,24,,,,,,,
2020-07-11,3598,3578,20,,,,,,,
2020-07-12,3854,3824,30,,,,,,,
2020-07-13,3068,3036,32,,,,,,,
2020-07-14,2593,2574,19,,,,,,,
2020-07-15,3271,3240,31,,,,,,,
2020-07-16,3825,3795,30,,,,,,,
2020-07-17,3928,3847,81,,,,,,,
2020-07-18,3259,3225,34,,,,,,,
2020-07-19,3660,3634,26,,,,,,,
2020-07-20,3612,3589,23,,,,,,,
2020-07-21,3873,3851,22,,,,,,,
2020-07-22,3663,3628,35,,,,,,,
2020-07-23,3582,3540,42,,,,,,,
2020-07-24,2105,2089,16,,,,,,,
2020-07-25,3057,3035,22,,,,,,,
2020-07-26,2702,2663,39,,,,,,,
2020-07-27,3242,3221,21,,,,,,,
2020-07-28,2676,2646,30,,,,,,,
2020-07-29,2918,2884,34,,,,,,,
2020-07-30,2163,2143,20,,,,,,,
2020-07-31,3082,3043,39,,,,,,,
2020-08-01,3229,3187,42,,,,,,,
2020-08-02,3227,3183,44,,,,,,,
2020-08-03,2426,2401,25,,,,,,,
2020-08-04,1929,1902,28,,,,,,,
2020-08-05,2322,2302,20,,,,,,,
2020-08-06,2399,2378,21,,,,,,,
2020-08-07,2124,2101,23,,,,,,,
2020-08-08,2251,2233,18,,,,,,,
2020-08-09,2266,2236,30,,,,,,,
2020-08-10,2155,2122,33,,,,,,,
2020-08-11,1920,1907,13,,,,,,,
2020-08-12,2071,2052,19,,,,,,,
2020-08-13,2562,2533,29,,,,,,,
2020-08-14,2331,2293,38,,,,,,,
2020-08-15,2741,2721,20,,,,,,,
2020-08-16,2429,2389,40,,,,,,,
2020-08-17,3518,3488,30,,,,,,,
2020-08-18,3258,3211,47,,,,,,,
