DMS 포집내역 (2020.5.1 ~ 2020.10.31),,,,,2020년,포집량,모기,기타,,
2020-08-19,3048,3011,37,,,,,,,
2020-08-20,3284,3247,37,,,,,,,
2020-08-21,3117,3098,19,,,,,,,
2020-08-22,2882,2843,39,,,,,,,
2020-08-23,2241,2198,43,,,,,,,
2020-08-24,3321,3287,34,,,,,,,
2020-08-25,3405,3361,44,,,,,,,
2020-08-26,3175,3138,37,,,,,,,
2020-08-27,2281,2250,31,,,,,,,
2020-08-28,2814,2781,33,,,,,,,
2020-08-29,2890,2869,21,,,,,,,
2020-08-30,2794,2784,10,,,,,,,
2020-08-31,2946,2930,16,,,,,,,
2020-09-01,3059,3036,23,,,,,,,
2020-09-02,3532,3515,17,,,,,,,
2020-09-03,2941,2903,38,,,,,,,
2020-09-04,3653,3628,25,,,,,,,
2020-09-05,3747,3703,44,,,,,,,
2020-09-06,3626,3600,26,,,,,,,
2020-09-07,2482,2471,11,,,,,,,
2020-09-08,2711,2678,33,,,,,,,
2020-09-09,3568,3532,36,,,,,,,
2020-09-10,2187,2160,27,,,,,,,
2020-09-11,2898,2864,34,,,,,,,
2020-09-12,3031,3002,29,,,,,,,
2020-09-13,2636,2611,25,,,,,,,
2020-09-14,3215,3176,39,,,,,,,
2020-09-15,3304,3269,35,,,,,,,
2020-09-16,3987,3946,41,,,,,,,
2020-09-17,3568,3544,24,,,,,,,
2020-09-18,4161,4127,34,,,,,,,
2020-09-19,3751,3715,36,,,,,,,
2020-09-20,3861,3815,46,,,,,,,
2020-09-21,3017,2983,34,,,,,,,
2020-09-22,2538,2507,31,,,,,,,
2020-09-23,3177,3142,35,,,,,,,
2020-09-24,3212,3189,23,,,,,,,
2020-09-25,3396,3366,30,,,,,,,
2020-09-26,3062,3048,14,,,,,,,
2020-09-27,3109,3088,21,,,,,,,
2020-09-28,2913,2884,29,,,,,,,
2020-09-29,2951,2921,30,,,,,,,
2020-09-30,2785,2747,38,,,,,,,
2020-10-01,2409,2381,28,,,,,,,
2020-10-02,2999,2972,27,,,,,,,
2020-10-03,2512,2479,33,,,,,,,
2020-10-04,3277,3240,37,,,,,,,
2020-10-05,2059,2031,28,,,,,,,
2020-10-06,1522,1507,15,,,,,,,
2020-10-07,1702,1668,34,,,,,,,
2020-10-08,1790,1766,24,,,,,,,
2020-10-09,2357,2326,31,,,,,,,
2020-10-10,2602,2573,29,,,,,,,
2020-10-11,2320,2291,29,,,,,,,
2020-10-12,1539,1526,13,,,,,,,
2020-10-13,1857,1834,23,,,,,,,
2020-10-14,1051,1043,8,,,,,,,
2020-10-15,729,722,7,,,,,,,
2020-10-16,736,729,7,,,,,,,
2020-10-17,665,651,14,,,,,,,
2020-10-18,732,723,9,,,,,,,
2020-10-19,999,990,9,,,,,,,
2020-10-20,955,949,6,,,,,,,
2020-10-21,1097,1089,9,,,,,,,
2020-10-22,989,982,7,,,,,,,
2020-10-23,522,519,3,,,,,,,
2020-10-24,274,270,4,,,,,,,
2020-10-25,363,358,5,,,,,,,
2020-10-26,542,536,6,,,,,,,
2020-10-27,544,535,9,,,,,,,
2020-10-28,895,884,11,,,,,,,
2020-10-29,701,695,6,,,,,,,
2020-10-30,549,543,6,,,,,,,
2020-10-31,461,454,7,,,,,,,
